IT대학 컴퓨터학부,,,,,,,,,,,2019학년도 제 1학기,,
2,기본소양,COMP417-001,컴퓨터윤리,,3,3,,서영균,"화5B,6A,6B 목2B,3A,3B",,,IT융복합관(IT융복합공학관)-348,
2,기본소양,COMP417-002,컴퓨터윤리,,3,3,,최현석,"화5B,6A,6B 목7A,7B,8A",,,IT융복합관(IT융복합공학관)-245,
2,공학전공,ELEC247-010,논리회로,,3,3,,이성기,"화2B,3A,3B 금2B,3A,3B",,,IT융복합관(IT융복합공학관)-351,
2,공학전공,ELEC247-011,논리회로,,3,3,,이성기,"화7A,7B,8A 금7A,7B,8A",,,IT대학4호관(제2학생회관)-104,
,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,
IT대학 컴퓨터학부,,,,,,,,,,,2019학년도 제 1학기,,
학년,구분, 교과번호-분반     ,  교 과 목 명,,학점,강의,실습,담당교수,"강의시간(요일,교시)        ",,,강 의 실    ,비고
2,전공기반,ENGR211-016,공학수학 1,,3,3,,장재석,"월2B,3A,3B 수1A,1B,2A",,,IT융복합관(IT융복합공학관)-351,
2,전공기반,ENGR211-017,공학수학 1,,3,3,,장재석,"월1A,1B,2A 수2B,3A,3B",,,IT융복합관(IT융복합공학관)-351,
3,기본소양,CLTR078-015,심리학의이해,,3,3,,손혜진,"수8B,9A,9B 금8B,9A,9B",,,IT융복합관(IT융복합공학관)-B102,
3,기본소양,CLTR086-001,기업가정신과 벤처창업,,3,3,,이장우,"일1A,1B,2A,2B,3A,3B",,,제4합동강의동-108,
3,공학전공,COMP312-004,운영체제,,3,3,,탁병철,"화7A,7B,8A 목5B,6A,6B",,,IT융복합관(IT융복합공학관)-345,
3,공학전공,COMP312-005,운영체제,,3,3,,홍석인,"화7A,7B,8A 목5B,6A,6B",,,IT융복합관(IT융복합공학관)-351,
3,공학전공,COMP319-001,알고리즘1,,3,3,,유관우,"화1A,1B,2A 목2B,3A,3B",,,IT대학4호관(제2학생회관)-101,
3,공학전공,COMP319-002,알고리즘1,,3,3,,유관우,"화2B,3A,3B 목1A,1B,2A",,,IT대학4호관(제2학생회관)-101,
3,공학전공,COMP319-003,알고리즘1,,3,3,,유관우,"화8B,9A,9B 목8B,9A,9B",,,IT대학4호관(제2학생회관)-101,
3,공학전공,COMP321-001,컴파일러,,3,3,,김상욱,"월1A,1B,2A,2B,3A,3B",,,IT융복합관(IT융복합공학관)-245,
3,기본소양,COMP330-001,SW프로젝트관리기법,,3,3,,정원일,"수7A,7B,8A,8B,9A,9B",,,IT융복합관(IT융복합공학관)-251,
,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,
IT대학 컴퓨터학부,,,,,,,,,,,2019학년도 제 1학기,,
학년,구분, 교과번호-분반     ,  교 과 목 명,,학점,강의,실습,담당교수,"강의시간(요일,교시)        ",,,강 의 실    ,비고
